seed,population_size,policy_type,step,avg_price,total_demand,gini,compliance_rate,avg_stress
158579576,140,food_price_ceiling,1,28.855924996473412,6949.573748765693,0.4472775842011892,0.8428571428571429,0.1879601456192598
158579576,140,food_price_ceiling,2,88.23654731304597,312.67062035807595,0.4472775842011892,0.8642857142857143,0.38741616139048113
158579576,140,food_price_ceiling,3,283.42617678910085,19.31206124774039,0.4472775842011892,0.8642857142857143,0.5873824613259391
158579576,140,food_price_ceiling,4,625.6220594110306,14.0,0.4472775842011892,0.8642857142857143,0.787358128290522
158579576,140,food_price_ceiling,5,863.1295216752054,14.0,0.4472775842011892,0.8928571428571429,0.987333795255105
158579576,140,food_price_ceiling,6,923.2430433257476,14.0,0.4472775842011892,0.9357142857142857,1.0
158579576,140,food_price_ceiling,7,982.7332108903489,14.0,0.4472775842011892,0.9714285714285714,1.0
158579576,140,food_price_ceiling,8,1000.0,14.0,0.4472775842011892,0.9142857142857143,1.0
158579576,140,food_price_ceiling,9,1000.0,14.0,0.4472775842011892,0.9928571428571429,1.0
158579576,140,food_price_ceiling,10,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,11,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,12,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,13,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,14,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,15,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,16,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,17,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,18,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,19,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,20,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,21,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,22,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,23,1000.0,14.0,0.4472775842011892,1.0,1.0
158579576,140,food_price_ceiling,24,1000.0,14.0,0.4472775842011892,1.0,1.0
339872548,184,food_price_ceiling,1,29.32829465362441,9147.732594130986,0.4411314166834345,0.7989130434782609,0.18775126209846868
339872548,184,food_price_ceiling,2,89.13310593193052,440.32963930271643,0.4411314166834345,0.7663043478260869,0.38716611850907645
339872548,184,food_price_ceiling,3,279.3576857124726,25.4697676566833,0.4411314166834345,0.875,0.5871323858439433
339872548,184,food_price_ceiling,4,679.0332549148844,18.4,0.4411314166834345,0.8641304347826086,0.7871076885038226
339872548,184,food_price_ceiling,5,933.0460692173876,18.4,0.4411314166834345,0.875,0.9870829911637007
339872548,184,food_price_ceiling,6,970.581045,18.4,0.4411314166834345,0.9130434782608696,1.0
339872548,184,food_price_ceiling,7,994.1039855000001,18.4,0.4411314166834345,0.9456521739130435,1.0
339872548,184,food_price_ceiling,8,1000.0,18.4,0.4411314166834345,0.9836956521739131,1.0
339872548,184,food_price_ceiling,9,1000.0,18.4,0.4411314166834345,0.9619565217391304,1.0
339872548,184,food_price_ceiling,10,1000.0,18.4,0.4411314166834345,0.9836956521739131,1.0
339872548,184,food_price_ceiling,11,1000.0,18.4,0.4411314166834345,0.9891304347826086,1.0
339872548,184,food_price_ceiling,12,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,13,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,14,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,15,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,16,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,17,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,18,1000.0,18.4,0.4411314166834345,1.0,1.0
339872548,184,food_price_ceiling,19,1000.0,18.4,0.4411314166834345,1.0,1.0
